KPICategory,KPIMeasure,KPIYear,KPIValue
Internet,Use of wireless internet,2015,154465
Borrowing,Items Lent to Fort Saskatchewan,2015,21143
Collections,Library Materials Items Owned by the Library,2008,161550
Training,Informal Technology Training Sessions,2007,5638
Answers,Reference Transactions via the Internet,2011,1187
Answers,Reference Questions/Transactions - Total,2014,100748
Training,Informal Technology Training Sessions,2006,5337
Collections,Library Materials Items Owned by the Library,2005,170381
Training,Formal Technology Training Sessions - number trained,2015,246
Programs,Program Participants,2014,57513
Answers,Staff-Mediated Customer Service/ Information Transactions,2015,38245
Collections,Items Catalogued,2012,22321
Open days,Days Open,2001,338
Borrowing,Materials Used In-House,2004,152724
Borrowing,Physical Material Borrowed (Central and Bookmobile),2004,902792
Answers,Reference Transactions via the Internet,2006,631
Borrowing,Items Lent to Other Libraries,2008,1139
Borrowing,Items Borrowed from Other Libraries,2008,2617
Collections,Items Received,2011,39509
Borrowing,Items Borrowed from Other Libraries,2013,2374
Borrowing,Circulation of Library Materials Borrowed Per Capita,2013,15.66
Open days,Days Open,2014,348
Visits,Electronic - Visits to the Catalogue on the Web,2007,155944
Library use,Number of people reporting use of Library (County Survey),2007,55401
Borrowing,"VELMA Call-Ins -- Phone access to place holds, list items out, etc.",2005,1424
Programs,Number of Program Sessions,2015,3099
Borrowing,"VELMA Call-Ins -- Phone access to place holds, list items out, etc.",2011,2520
Programs,Number of Program Sessions,2009,1405
Borrowing,"VELMA Call-Ins -- Phone access to place holds, list items out, etc.",2014,2052
Awareness,Number of County Residents coming to Library Booths,2012,15818
Borrowing,"eArticles, eBooks, eNewspapers Retrieved Online",2006,25283
Volunteers,Number of Volunteers,2011,260
Volunteers,Number of Volunteers,2013,271
Services,"Printing, faxing, scanning, copying resumes (Career Resource Centre)",2015,27042
Borrowing,"eArticles, eBooks, eNewspapers Retrieved Online",2012,34040
Programs,Number of Program Sessions,2008,1356
Awareness,Number of County Residents coming to Library Booths,2011,7920
Volunteers,Number of Volunteers,2004,197
Awareness,Number of County Residents coming to Library Booths,2013,15606
